FEATURE_ID,prior_W55_V_both,prior_W55_V_g1,prior_W55_V_g2
l(1)G0196,0.8021960534691279,0.08338637810311904,0.11441756842775302
CG10932,0.8660287081339713,0.09952153110047847,0.03444976076555024
CG8920,0.8215919487648673,0.06999085086916743,0.10841720036596524
Mapmodulin,0.9046543938867663,0.018582841264327892,0.07676276484890587
