FEATURE_ID,prior_W55_M_both,prior_W55_M_g1,prior_W55_M_g2
l(1)G0196,0.7999156829679596,0.08174536256323778,0.1183389544688027
CG10932,0.8538812785388128,0.08637747336377473,0.05974124809741248
CG8920,0.808955223880597,0.06766169154228856,0.12338308457711443
Mapmodulin,0.8987341772151899,0.015726889144610665,0.08553893364019946
