FEATURE_ID,prior_c1_both,prior_c1_g1,prior_c1_g2,c1_flag_analyze,c1_num_reps,counts_c1_g1_total_rep1,counts_c1_g2_total_rep1,counts_c1_both_total_rep1,c1_flag_apn_rep1,c1_APN_total_reads_rep1,c1_APN_both_rep1,counts_c1_g1_total_rep2,counts_c1_g2_total_rep2,counts_c1_both_total_rep2,c1_flag_apn_rep2,c1_APN_total_reads_rep2,c1_APN_both_rep2,counts_c1_g1_total_rep3,counts_c1_g2_total_rep3,counts_c1_both_total_rep3,c1_flag_apn_rep3,c1_APN_total_reads_rep3,c1_APN_both_rep3,prior_c2_both,prior_c2_g1,prior_c2_g2,c2_flag_analyze,c2_num_reps,counts_c2_g1_total_rep1,counts_c2_g2_total_rep1,counts_c2_both_total_rep1,c2_flag_apn_rep1,c2_APN_total_reads_rep1,c2_APN_both_rep1,counts_c2_g1_total_rep2,counts_c2_g2_total_rep2,counts_c2_both_total_rep2,c2_flag_apn_rep2,c2_APN_total_reads_rep2,c2_APN_both_rep2,counts_c2_g1_total_rep3,counts_c2_g2_total_rep3,counts_c2_both_total_rep3,c2_flag_apn_rep3,c2_APN_total_reads_rep3,c2_APN_both_rep3
l(1)G0196,0.7999156829679596,0.08174536256323778,0.1183389544688027,1,3,234,295,2196,1,12.769696378014258,10.290735136190571,1165,1884,12200,1,71.45875231865665,57.17075075661428,540,628,4578,1,26.92648638094308,21.453089915063945,0.8021960534691279,0.08338637810311904,0.11441756842775302,1,3,519,691,5020,1,29.19457190276286,23.524358098213416,812,1075,7482,1,43.90432490481305,35.06160304598262,241,391,2621,1,15.243971492726741,12.282339158449672
CG10932,0.8538812785388128,0.08637747336377473,0.05974124809741248,1,3,39,13,308,1,5.087590166347711,4.3527160312085975,134,100,1394,1,23.007213307816876,19.700279699690853,54,44,542,1,9.044604740173707,7.659649639334607,0.8660287081339713,0.09952153110047847,0.03444976076555024,1,3,62,29,647,1,10.429559841012807,9.143530104519359,125,38,920,1,15.305167083762695,13.001619313999706,21,5,243,1,3.801560429854262,3.434123362284705
CG8920,0.808955223880597,0.06766169154228856,0.12338308457711444,1,3,20,93,500,1,39.62828282828283,32.323232323232325,257,347,2633,1,209.26060606060605,170.2141414141414,63,180,932,1,75.95959595959596,60.25050505050505,0.8215919487648673,0.06999085086916743,0.10841720036596524,1,3,122,163,1112,1,90.31111111111113,71.88686868686868,134,237,1881,1,145.58383838383835,121.6,50,74,599,1,46.73939393939394,38.723232323232324
Mapmodulin,0.8987341772151899,0.01572688914461066,0.08553893364019946,1,3,16,83,813,1,14.999486037347953,13.371252355662156,67,394,3840,1,70.73770772657187,63.155730683570326,40,192,2376,1,42.89326708925818,39.077608360459145,0.9046543938867664,0.018582841264327892,0.07676276484890587,1,3,35,146,1592,1,29.160185026554732,26.183313345896863,51,198,2406,1,43.6662669179373,39.57101250642453,21,98,1211,1,21.87425047113243,19.91708069213637
