FEATURE_ID,prior_W55_V_both,prior_W55_V_g1,prior_W55_V_g2,W55_V_flag_analyze,W55_V_num_reps,counts_W55_V_g1_total_rep1,counts_W55_V_g2_total_rep1,counts_W55_V_both_total_rep1,W55_V_flag_apn_rep1,W55_V_APN_total_reads_rep1,W55_V_APN_both_rep1,counts_W55_V_g1_total_rep2,counts_W55_V_g2_total_rep2,counts_W55_V_both_total_rep2,W55_V_flag_apn_rep2,W55_V_APN_total_reads_rep2,W55_V_APN_both_rep2,counts_W55_V_g1_total_rep3,counts_W55_V_g2_total_rep3,counts_W55_V_both_total_rep3,W55_V_flag_apn_rep3,W55_V_APN_total_reads_rep3,W55_V_APN_both_rep3
l(1)G0196,0.8021960534691279,0.08338637810311904,0.11441756842775302,1,3,519,691,5020,1,29.19457190276286,23.524358098213416,812,1075,7482,1,43.90432490481305,35.06160304598262,241,391,2621,1,15.243971492726741,12.282339158449672
CG10932,0.8660287081339713,0.09952153110047847,0.03444976076555024,1,3,62,29,647,1,10.429559841012807,9.143530104519359,125,38,920,1,15.305167083762695,13.001619313999706,21,5,243,1,3.801560429854262,3.434123362284705
CG8920,0.8215919487648673,0.06999085086916743,0.10841720036596524,1,3,122,163,1112,1,90.31111111111113,71.88686868686868,134,237,1881,1,145.58383838383835,121.6,50,74,599,1,46.73939393939394,38.723232323232324
Mapmodulin,0.9046543938867664,0.01858284126432789,0.07676276484890587,1,3,35,146,1592,1,29.160185026554732,26.183313345896863,51,198,2406,1,43.6662669179373,39.57101250642453,21,98,1211,1,21.87425047113243,19.91708069213637
